-1,-1.7,1.4,-4.9,-8.2,-5.4,-2.6,1.3,6.4,6.1,16,7.9,18.2,11.5,11.4,11,-0.4,8.3,-4,-1.2,-0.5,0
3.8,4.1,5.2,3.7,6.4,5.8,6.6,5.2,1,5.6,28.6,88.8,158.3,-12.2,-33.8,-55.1,-68,-13.5,-0.5,-0.8,2.1,1.8
3.5,1.8,0.4,2.8,2,0.1,2.2,1,1.7,2.8,2.8,5.2,8.7,-0.8,-0.9,-4.2,-7,1.4,1.3,0.8,0.1,2.4
2.7,6.1,4.7,5.1,0.3,0,-8,-8.5,-9,-4.8,3.6,9.3,33.7,4,6.3,-7.6,-16.4,0.3,5,9.9,3.1,9.6
3.7,4.3,2,2.3,2.9,2,4.7,5.8,5.1,4.9,6,9.3,14.2,3.6,-2,-5.9,-10.4,0.3,2.6,1.3,2.1,1.9
3.6,2.5,0.1,1.1,2,0.2,3.8,5.4,2.8,5,5.3,10.7,11.2,12.8,3,-3.8,-4.3,-3.2,-1.3,-0.8,2.3,4.1
3.9,2.5,0.2,1.1,2.1,0.1,3.8,5.2,2,4.9,5.2,11.3,9.1,13.7,3.9,-3.1,-0.6,-2.2,-0.9,-0.6,2.9,4.6
-2.1,2.5,-0.3,2.3,1.6,1.7,4.5,8.5,16.2,6.1,5.3,3.3,55,2.3,-6.9,-12.2,-45.8,-13.1,-5.9,-3.2,-4.1,-0.3
5.4,6.7,2.8,0.9,5.4,0.1,3.9,7,4.4,4.2,10.4,13.9,29.7,-3.2,-15.7,-17.8,-28,-1.9,1.9,-0.5,0.4,-1.5
0.7,6.9,0.7,7.7,8.4,14.2,12.8,17.9,16,-2.4,-1.2,-8,15.3,-1.8,-20.4,-23.3,-39.5,-25.3,-3,-1.7,-0.4,2.6
4.3,14.9,1.5,12.6,15.1,22.5,12.4,6.4,-2.3,-9.1,-8.7,-15.5,-4.1,-0.4,-19.1,-15.2,-22.8,-32.6,0.3,-3.2,-4.2,1.5
-2.3,0.9,-1.5,2.9,4.9,10.9,13,24.3,26.2,0.5,2.4,-1.5,36.7,-6.1,-21.3,-29.6,-51.5,-20.1,-5.4,-0.4,2.5,3.3
6.4,6.5,4.7,6,5.3,7,7.7,6.3,8.9,9.9,11.3,17.6,17.2,12.6,17.1,12.4,6.9,14,13.5,14.2,15.1,10.8
6.7,7.1,5.4,2.5,-1.2,-1.5,-1.2,-1,1.2,1.7,4.7,8.3,10.7,6.3,5.6,5.9,3.6,9.9,10.2,6.2,7.1,4.7
1,0.9,-0.7,2,3.5,4.9,11.6,11.2,11.6,10.1,8,9.1,13.4,-8.6,-11.5,-16.1,-20.4,-1.9,-2.2,-3.9,-5.2,-4.3
-1.3,0.4,0.1,3.6,9.6,6.9,10.5,11.8,10.4,10.7,14.5,36.3,50.2,11.1,1.7,-17.7,-27.3,-5.5,-0.1,-2.5,-1,5.6
2.7,1.8,-0.7,1.4,0.4,3.7,13.3,13.2,13.8,12.4,11,4.1,9.4,-7.2,-11.5,-10.5,-14.9,-2.2,5.3,9.2,9.9,7.4
0.2,0,-1.7,1.4,3.4,5.2,9.4,7.4,8.8,5.6,-2.1,-3.2,-6.2,-24.6,-21.9,-22.3,-22.6,1.6,-12.4,-17.4,-22,-21.8
2.5,4.1,3.9,3.9,4.2,5.6,4.6,6.8,4.5,1.4,2.1,3.7,16.4,-0.3,-5.5,-8.6,-18.1,-2.2,3.5,2.8,2.4,1.8
0.2,0.3,0.7,0.1,1.2,1.4,1,3,0.1,0.5,0.7,3,5,4,4.8,4.6,2.7,4.4,3.4,3.1,0.6,3.8
1.3,1.1,1.3,1.8,1.5,1.9,0.5,0.7,0.2,1.4,2.3,5.2,6.3,1.7,-1.1,-4.8,-7.4,-0.8,0.8,0,-0.8,-0.6
4.1,3.4,3.1,4.1,4.6,4.7,4.6,4.2,5.9,2.3,3.6,7.6,18.6,9.4,2.3,-1.9,-10.5,-2.8,3.3,3.9,2.8,3.4
5.3,23.3,21.6,18.4,21.4,37.6,27.4,68.3,30.2,-0.5,-0.8,-12.7,752.3,-27.4,-40.5,-47.1,-93.9,-17.5,11.7,3.3,8.9,-4.4
4.9,5.4,4.9,5.6,5.2,6.6,9.3,7.9,9.2,2.3,3.3,1.8,15.9,-10.7,-17.9,-19.8,-29.8,-2.8,3.2,6.3,7.4,7.1
4.9,4.8,2.5,1.9,2.1,1.7,0.8,0.5,0.2,0.2,1.3,0.7,0.4,-1.9,-0.7,0.6,1.8,3,4.1,4.1,4.2,4.8
2.9,3.1,2,0.9,0.6,0.5,3,4.5,5,4.9,8.4,9.8,16.3,4.5,-0.4,-3.9,-9.9,1.5,1.1,0.8,1.6,1.6
5.1,1.4,6.2,3.9,-0.2,0.8,-7.8,-2.3,-2,-10,-2.4,2.5,74.3,2,-1,-10.6,-48.3,-7,8.4,1.3,-1.7,3.6
